date,close,weighted_signal,signal,action,opinion,position
2022-11-10,96.62999725341797,0.0,0,HOLD,관망,1
2022-11-11,100.79000091552734,0.0,0,HOLD,관망,1
2022-11-14,98.48999786376953,0.0,0,HOLD,관망,1
2022-11-15,98.94000244140625,0.0,0,HOLD,관망,1
2022-11-16,97.12000274658203,0.0,0,HOLD,관망,1
2022-11-17,94.8499984741211,0.0,0,HOLD,관망,1
2022-11-18,94.13999938964844,0.0,0,HOLD,관망,1
2022-11-21,92.45999908447266,0.0,0,HOLD,관망,1
2022-11-22,93.19999694824219,0.0,0,HOLD,관망,1
2022-11-23,94.12999725341797,0.0,0,HOLD,관망,1
2022-11-25,93.41000366210938,0.0,0,HOLD,관망,1
2022-11-28,93.94999694824219,0.0,0,HOLD,관망,1
2022-11-29,92.41999816894531,0.0,0,HOLD,관망,1
2022-11-30,96.54000091552734,0.0,0,HOLD,관망,1
2022-12-01,95.5,0.0,0,HOLD,관망,1
2022-12-02,94.12999725341797,0.0,0,HOLD,관망,1
2022-12-05,91.01000213623047,0.0,0,HOLD,관망,1
2022-12-06,88.25,0.0,0,HOLD,관망,1
2022-12-07,88.45999908447266,0.0,0,HOLD,관망,1
2022-12-08,90.3499984741211,0.0,0,HOLD,관망,1
2022-12-09,89.08999633789062,0.0,0,HOLD,관망,1
2022-12-12,90.55000305175781,0.0,0,HOLD,관망,1
2022-12-13,92.48999786376953,0.0,0,HOLD,관망,1
2022-12-14,91.58000183105469,0.0,0,HOLD,관망,1
2022-12-15,88.44999694824219,0.0,0,HOLD,관망,1
2022-12-16,87.86000061035156,0.0,0,HOLD,관망,1
2022-12-19,84.91999816894531,0.29036184409359966,1,HOLD,관망,1
2022-12-20,85.19000244140625,0.0,0,HOLD,관망,1
2022-12-21,86.7699966430664,0.0,0,HOLD,관망,1
2022-12-22,83.79000091552734,0.0,0,HOLD,관망,1
2022-12-23,85.25,0.0,0,HOLD,관망,1
2022-12-27,83.04000091552734,0.0,0,HOLD,관망,1
2022-12-28,81.81999969482422,0.0,0,HOLD,관망,1
2022-12-29,84.18000030517578,0.0,0,HOLD,관망,1
2022-12-30,84.0,0.0,0,HOLD,관망,1
2023-01-03,85.81999969482422,0.0,0,HOLD,관망,1
2023-01-04,85.13999938964844,0.0,0,HOLD,관망,1
2023-01-05,83.12000274658203,0.0,0,HOLD,관망,1
2023-01-06,86.08000183105469,0.0,0,HOLD,관망,1
2023-01-09,87.36000061035156,0.0,0,HOLD,관망,1
2023-01-10,89.87000274658203,0.0,0,HOLD,관망,1
2023-01-11,95.08999633789062,-0.29036184409359966,-1,SELL,매도,0
2023-01-12,95.2699966430664,-0.29036184409359966,-1,HOLD,관망,0
2023-01-13,98.12000274658203,-1.0,-1,HOLD,관망,0
2023-01-17,96.05000305175781,0.0,0,HOLD,관망,0
2023-01-18,95.45999908447266,-0.7096381559064003,-1,HOLD,관망,0
2023-01-19,93.68000030517578,-0.7096381559064003,-1,HOLD,관망,0
2023-01-20,97.25,-0.7096381559064003,-1,HOLD,관망,0
2023-01-23,97.5199966430664,-0.7096381559064003,-1,HOLD,관망,0
2023-01-24,96.31999969482422,0.0,0,HOLD,관망,0
2023-01-25,97.18000030517578,-0.7096381559064003,-1,HOLD,관망,0
2023-01-26,99.22000122070312,-0.7096381559064003,-1,HOLD,관망,0
2023-01-27,102.23999786376953,-0.7096381559064003,-1,HOLD,관망,0
2023-01-30,100.55000305175781,-0.7096381559064003,-1,HOLD,관망,0
2023-01-31,103.12999725341797,-0.7096381559064003,-1,HOLD,관망,0
2023-02-01,105.1500015258789,-0.7096381559064003,-1,HOLD,관망,0
2023-02-02,112.91000366210938,-1.0,-1,HOLD,관망,0
2023-02-03,103.38999938964844,0.0,0,HOLD,관망,0
2023-02-06,102.18000030517578,0.0,0,HOLD,관망,0
2023-02-07,102.11000061035156,0.0,0,HOLD,관망,0
2023-02-08,100.05000305175781,0.0,0,HOLD,관망,0
2023-02-09,98.23999786376953,0.0,0,HOLD,관망,0
2023-02-10,97.61000061035156,0.0,0,HOLD,관망,0
2023-02-13,99.54000091552734,0.0,0,HOLD,관망,0
2023-02-14,99.69999694824219,0.0,0,HOLD,관망,0
2023-02-15,101.16000366210938,0.0,0,HOLD,관망,0
2023-02-16,98.1500015258789,0.0,0,HOLD,관망,0
2023-02-17,97.19999694824219,0.0,0,HOLD,관망,0
2023-02-21,94.58000183105469,0.0,0,HOLD,관망,0
2023-02-22,95.79000091552734,0.0,0,HOLD,관망,0
2023-02-23,95.81999969482422,0.7096381559064003,1,BUY,매수,1
