date,close,weighted_signal,signal,action,opinion,position
2022-08-04,118.19000244140625,0.7847822020015678,1,HOLD,관망,1
2022-08-05,117.47000122070312,0.0,0,HOLD,관망,1
2022-08-08,117.30000305175781,0.0,0,HOLD,관망,1
2022-08-09,116.62999725341797,0.0,0,HOLD,관망,1
2022-08-10,119.69999694824219,0.0,0,HOLD,관망,1
2022-08-11,118.83999633789062,0.0,0,HOLD,관망,1
2022-08-12,121.68000030517578,0.0,0,HOLD,관망,1
2022-08-15,122.08000183105469,0.0,0,HOLD,관망,1
2022-08-16,121.69999694824219,0.0,0,HOLD,관망,1
2022-08-17,119.55000305175781,0.0,0,HOLD,관망,1
2022-08-18,120.16999816894531,0.0,0,HOLD,관망,1
2022-08-19,117.20999908447266,0.0,0,HOLD,관망,1
2022-08-22,114.23999786376953,0.0,0,HOLD,관망,1
2022-08-23,113.86000061035156,0.0,0,HOLD,관망,1
2022-08-24,113.69000244140625,0.0,0,HOLD,관망,1
2022-08-25,116.6500015258789,0.0,0,HOLD,관망,1
2022-08-26,110.33999633789062,-0.43264861470770455,-1,SELL,매도,0
2022-08-29,109.41999816894531,0.21521779799843224,1,BUY,매수,1
2022-08-30,108.94000244140625,0.21521779799843224,1,HOLD,관망,1
2022-08-31,108.22000122070312,0.0,0,HOLD,관망,1
2022-09-01,109.73999786376953,0.0,0,HOLD,관망,1
2022-09-02,107.8499984741211,-0.136915789295431,0,HOLD,관망,1
2022-09-06,106.80999755859375,0.0,0,HOLD,관망,1
2022-09-07,109.44999694824219,0.0,0,HOLD,관망,1
2022-09-08,108.37999725341797,0.0,0,HOLD,관망,1
2022-09-09,110.6500015258789,0.0,0,HOLD,관망,1
2022-09-12,110.86000061035156,0.0,0,HOLD,관망,1
2022-09-13,104.31999969482422,0.0,0,HOLD,관망,1
2022-09-14,105.0,0.0,0,HOLD,관망,1
2022-09-15,102.91000366210938,0.0,0,HOLD,관망,1
2022-09-16,102.80000305175781,0.0,0,HOLD,관망,1
2022-09-19,103.06999969482422,0.0,0,HOLD,관망,1
